gene,cytoband,CNA,num,freq
UBC,12q24.3,HOMDEL,816,0.2%
MC1R,16q24.3,HOMDEL,816,2.2%
ZNF579,19q13.42,AMP,816,2.8%
IRF4,6p25.3,HOMDEL,816,1.5%
ABCC4,13q32.1,AMP,816,2.2%
VAV2,9q34.2,HOMDEL,816,0.4%
HSD17B1,17q21.2,HOMDEL,816,0.5%
SLC10A1,14q24.1,HOMDEL,816,0.2%
IQCE,7p22.3,HOMDEL,816,0.5%
RNY5P8,13q33.1,AMP,816,2.2%
IL31RA,5q11.2,HOMDEL,816,1.3%
GPR63,6q16.1,HOMDEL,816,0.2%
DCTD,4q35.1,HOMDEL,816,2.1%
ZNF580,19q13.42,AMP,816,2.8%
ANHX,12q24.33,HOMDEL,816,0.5%
MIDEAS,14q24.3,HOMDEL,816,0.5%
EFNB2,13q33.3,AMP,816,2.1%
OR2T7,1q44,AMP,816,14.1%
CEPT1,1p13.3,HOMDEL,816,0.4%
RNA5SP173,4q34.3,HOMDEL,816,1.5%
PNPLA7,9q34.3,HOMDEL,816,0.6%
FNBP1,9q34.11,HOMDEL,816,0.4%
ATP8B3,19p13.3,HOMDEL,816,1.0%
EML5,14q31.3,HOMDEL,816,0.1%
CLDN25,11q23.2,HOMDEL,816,1.5%
MUS81,11q13,HOMDEL,816,0.2%
KLKB1,4q35.2,HOMDEL,816,1.7%
GSTZ1,14q24.3,HOMDEL,816,0.1%
ANKLE2,12q24.33,HOMDEL,816,0.5%
CRAT,9q34.11,HOMDEL,816,0.2%
ZDHHC11B,5p15.33,AMP,816,2.7%
YLPM1,14q24.3,HOMDEL,816,0.2%
SOHLH1,9q34.3,HOMDEL,816,0.5%
VWA5B1,1p36.12,HOMDEL,816,0.5%
SFSWAP,12q24.33,HOMDEL,816,0.7%
LAMB2,3p21.31,HOMDEL,816,0.5%
ASS1,9q34.11,HOMDEL,816,0.4%
KCNMB2,3q26.32,AMP,816,5.0%
SAE1,19q13.32,HOMDEL,816,0.1%
LCN9,9q34.3,HOMDEL,816,0.5%
OR2L5,1q44,AMP,816,14.1%
ZCCHC24,10q22.3,AMP,816,2.6%
DHRS3,1p36.21,HOMDEL,816,0.5%
PLEKHH1,14q24.1,HOMDEL,816,0.1%
NPAS1,19q13.32,HOMDEL,816,0.1%
OR2G3,1q44,AMP,816,14.1%
ATP11AUN,13q34,AMP,816,2.5%
SSNA1,9q34.3,HOMDEL,816,0.4%
NRXN3,14q24.3-q31.1,HOMDEL,816,0.6%
UBA7,3p21.31,HOMDEL,816,0.6%
EFTUD2,17q21.31,HOMDEL,816,0.6%
GBGT1,9q34.2,HOMDEL,816,0.2%
NTMT1,9q34.11,HOMDEL,816,0.4%
ARIH2,3p21.31,HOMDEL,816,0.5%
ZNF664,12q24.31,HOMDEL,816,0.4%
PITPNM2,12q24.31,HOMDEL,816,0.2%
PSMG3,7p22.3,HOMDEL,816,0.4%
COX20,1q44,AMP,816,14.0%
C1ORF162,1p13.2,HOMDEL,816,0.2%
VCAM1,1p21.2,HOMDEL,816,0.2%
SLC38A9,5q11.2,HOMDEL,816,1.3%
MAN1B1,9q34.3,HOMDEL,816,0.4%
SOX1-OT,13q34,AMP,816,2.5%
CPLANE2,1p36.13,HOMDEL,816,0.6%
TPBG,6q14.1,HOMDEL,816,0.2%
TEX12,11q23.1,HOMDEL,816,1.5%
ZNF865,19q13.42,AMP,816,2.8%
OR2C3,1q44,AMP,816,14.1%
INPP5E,9q34.3,HOMDEL,816,0.5%
SARDH,9q34.2,HOMDEL,816,0.4%
OR2G2,1q44,AMP,816,14.1%
SNORD56B,14q24.2,HOMDEL,816,0.2%
AHRR,5p15.33,AMP,816,2.7%
RNY4P2,17q21.31,HOMDEL,816,0.4%
IRF2,4q35.1,HOMDEL,816,2.0%
ERBB2,17q12,AMP,816,12.9%
IRF2BPL,14q24.3,HOMDEL,816,0.1%
TBX18,6q14.3,HOMDEL,816,0.4%
PDCD6,5p15.33,AMP,816,2.7%
ATXN7L2,1p13.3,HOMDEL,816,0.2%
CPNE7,16q24.3,HOMDEL,816,2.2%
PPM1J,1p13.2,HOMDEL,816,0.4%
NDOR1,9q34.3,HOMDEL,816,0.4%
GALNT16,14q24.1,HOMDEL,816,0.2%
SYT5,19q13.42,AMP,816,2.6%
MBD3,19p13.3,HOMDEL,816,1.1%
HUS1B,6p25.3,HOMDEL,816,1.5%
RAB15,14q23.3,HOMDEL,816,0.1%
TGFB3,14q24.3,HOMDEL,816,0.1%
SOST,17q21.31,HOMDEL,816,0.5%
CHIA,1p13.2,HOMDEL,816,0.2%
FNTB,14q23.3,HOMDEL,816,0.1%
MYLK4,6p25.2,HOMDEL,816,1.1%
FALEC,1q21.2,AMP,816,14.8%
INTS1,7p22.3,HOMDEL,816,0.4%
KIF18B,17q21.31,HOMDEL,816,0.6%
C1QL1,17q21.31,HOMDEL,816,0.6%
RFLNA,12q24.31,HOMDEL,816,0.5%
BACH2,6q15,HOMDEL,816,0.2%
CDKN1B,12p13.1,HOMDEL,816,0.7%
HNRNPCL1,1p36.21,HOMDEL,816,0.6%
LINC00290,4q34.3,HOMDEL,816,2.0%
PRDM2,1p36.21,HOMDEL,816,0.5%
LINC00283,13q33.1,AMP,816,2.2%
CERK,22q13.31,HOMDEL,816,0.7%
TUBG1,17q21.31,HOMDEL,816,0.5%
